X;Y1;Y2;Y3;Y4;Y5
styczeń;0,101398943;-1;0,099426123;516383,0717;0,007385688
luty;0,560971716;2174,754765;0,032624753;89635,68617;0,006365482
marzec;0,796895637;5278,080299;0,079179534;473160,6178;0,009987504
kwiecień;0,516013979;8456,883149;0,126866593;851178,8075;0,003487903
maj;0,887847898;7891,878878;"""""";849132,2046;0,002918772
czerwiec;0,210736726;2589,239035;0,038842672;463653,3824;0,002010272
lipiec;0,313857114;7177,494568;0,107673745;101390,6355;0,005395998
sierpień;0,397081838;;0,130577443;337087,3875;0,009798332
wrzesień;0,054454566;2337,592646;0,035067579;107153,9714;0,002433083
październik;0,225709082;9209,182704;0,138152274;420915,5313;0,007258331
listopad;0,394475247;2407,643804;0,036118457;808026,0632;0,003465
grudzień;0,820427406;NULL;0,057080191;190024,8076;0,008796844
